,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,datetime,direction_id
0,47674111,04:50:00,04:50:00,80409,1,804 - Atlantic Station,0,0,2019-01-16 04:50:00,1
1,47674111,04:54:00,04:54:00,80408,2,804 - Atlantic Station,0,0,2019-01-16 04:54:00,1
2,47674111,04:58:00,04:58:00,80407,3,804 - Atlantic Station,0,0,2019-01-16 04:58:00,1
3,47674111,05:00:00,05:00:00,80406,4,804 - Atlantic Station,0,0,2019-01-16 05:00:00,1
4,47674111,05:02:00,05:02:00,80405,5,804 - Atlantic Station,0,0,2019-01-16 05:02:00,1
5,47674111,05:05:00,05:05:00,80404,6,804 - Atlantic Station,0,0,2019-01-16 05:05:00,1
6,47674111,05:09:00,05:09:00,80403,7,804 - Atlantic Station,0,0,2019-01-16 05:09:00,1
7,47674111,05:11:00,05:11:00,80402,8,804 - Atlantic Station,0,0,2019-01-16 05:11:00,1
8,47674111,05:13:00,05:13:00,80401,9,804 - Atlantic Station,0,0,2019-01-16 05:13:00,1
9,47674112,05:21:00,05:21:00,80401,1,804 - Azusa / Citrus,0,0,2019-01-16 05:21:00,0
10,47674112,05:23:00,05:23:00,80402,2,804 - Azusa / Citrus,0,0,2019-01-16 05:23:00,0
11,47674112,05:26:00,05:26:00,80403,3,804 - Azusa / Citrus,0,0,2019-01-16 05:26:00,0
12,47674112,05:31:00,05:31:00,80404,4,804 - Azusa / Citrus,0,0,2019-01-16 05:31:00,0
13,47674112,05:34:00,05:34:00,80405,5,804 - Azusa / Citrus,0,0,2019-01-16 05:34:00,0
14,47674112,05:35:00,05:35:00,80406,6,804 - Azusa / Citrus,0,0,2019-01-16 05:35:00,0
15,47674112,05:37:00,05:37:00,80407,7,804 - Azusa / Citrus,0,0,2019-01-16 05:37:00,0
16,47674112,05:41:00,05:41:00,80408,8,804 - Azusa / Citrus,0,0,2019-01-16 05:41:00,0
17,47674112,05:45:00,05:45:00,80409,9,804 - Azusa / Citrus,0,0,2019-01-16 05:45:00,0
18,47674112,05:47:00,05:47:00,80410,10,804 - Azusa / Citrus,0,0,2019-01-16 05:47:00,0
19,47674112,05:50:00,05:50:00,80411,11,804 - Azusa / Citrus,0,0,2019-01-16 05:50:00,0
20,47674112,05:52:00,05:52:00,80412,12,804 - Azusa / Citrus,0,0,2019-01-16 05:52:00,0
21,47674112,05:54:00,05:54:00,80413,13,804 - Azusa / Citrus,0,0,2019-01-16 05:54:00,0
22,47674112,05:58:00,05:58:00,80414,14,804 - Azusa / Citrus,0,0,2019-01-16 05:58:00,0
23,47674112,06:01:00,06:01:00,80415,15,804 - Azusa / Citrus,0,0,2019-01-16 06:01:00,0
24,47674112,06:04:00,06:04:00,80416,16,804 - Azusa / Citrus,0,0,2019-01-16 06:04:00,0
25,47674112,06:07:00,06:07:00,80417,17,804 - Azusa / Citrus,0,0,2019-01-16 06:07:00,0
26,47674112,06:08:00,06:08:00,80418,18,804 - Azusa / Citrus,0,0,2019-01-16 06:08:00,0
27,47674112,06:10:00,06:10:00,80419,19,804 - Azusa / Citrus,0,0,2019-01-16 06:10:00,0
28,47674112,06:12:00,06:12:00,80420,20,804 - Azusa / Citrus,0,0,2019-01-16 06:12:00,0
29,47674112,06:15:00,06:15:00,80421,21,804 - Azusa / Citrus,0,0,2019-01-16 06:15:00,0
30,47674112,06:20:00,06:20:00,80422,22,804 - Azusa / Citrus,0,0,2019-01-16 06:20:00,0
31,47674112,06:23:00,06:23:00,80423,23,804 - Azusa / Citrus,0,0,2019-01-16 06:23:00,0
32,47674112,06:26:00,06:26:00,80424,24,804 - Azusa / Citrus,0,0,2019-01-16 06:26:00,0
33,47674112,06:30:00,06:30:00,80425,25,804 - Azusa / Citrus,0,0,2019-01-16 06:30:00,0
34,47674112,06:32:00,06:32:00,80426,26,804 - Azusa / Citrus,0,0,2019-01-16 06:32:00,0
35,47674112,06:34:00,06:34:00,80427,27,804 - Azusa / Citrus,0,0,2019-01-16 06:34:00,0
36,47674113,05:35:00,05:35:00,80401,1,804 - Azusa / Citrus,0,0,2019-01-16 05:35:00,0
37,47674113,05:37:00,05:37:00,80402,2,804 - Azusa / Citrus,0,0,2019-01-16 05:37:00,0
